old_name,new_name,brand,art_number,color,price,status,error
WhatsApp Image 2026-07-10 at 1.36.58 PM (1).jpeg,Walkaroo_Unknown_Tan_439.jpeg,Walkaroo,,Tan,439,ok,
WhatsApp Image 2026-07-10 at 1.36.58 PM.jpeg,Walkaroo_WC4865_Peach_299.jpeg,Walkaroo,WC4865,Peach,299,ok,
WhatsApp Image 2026-07-10 at 1.37.03 PM.jpeg,Walkaroo_WF6258_Brown_799.jpeg,Walkaroo,WF6258,Brown,799,ok,
WhatsApp Image 2026-07-10 at 1.37.06 PM.jpeg,Walkaroo_WF6255_TW_PR_829.jpeg,Walkaroo,WF6255,TW_PR,829,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM (1).jpeg,Walkaroo_WL7900_Purple_359.jpeg,Walkaroo,WL7900,Purple,359,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM (2).jpeg,Walkaroo_WLR79400_Maroon_274.jpeg,Walkaroo,WLR79400,Maroon,274,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM (3).jpeg,Walkaroo_WLR77023_Green_299.jpeg,Walkaroo,WLR77023,Green,299,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM (4).jpeg,Walkaroo_WL7800_Black_319.jpeg,Walkaroo,WL7800,Black,319,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM (5).jpeg,Walkaroo_WLR77012_Brown_359.jpeg,Walkaroo,WLR77012,Brown,359,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM (6).jpeg,Walkaroo_WLR77012_Olive_359.jpeg,Walkaroo,WLR77012,Olive,359,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM (7).jpeg,Walkaroo_WLP7801_Black_499.jpeg,Walkaroo,WLP7801,Black,499,ok,
WhatsApp Image 2026-07-10 at 1.37.07 PM.jpeg,Walkaroo_WL7900_French_Beige_359.jpeg,Walkaroo,WL7900,French_Beige,359,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (1).jpeg,Walkaroo_W187_Blue_189.jpeg,Walkaroo,W187,Blue,189,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (2).jpeg,Walkaroo_BX2255_Grey_184.jpeg,Walkaroo,BX2255,Grey,184,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (3).jpeg,Walkaroo_BX2255_Brown_184.jpeg,Walkaroo,BX2255,Brown,184,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (4).jpeg,Walkaroo_W172_Brown_279.jpeg,Walkaroo,W172,Brown,279,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (5).jpeg,Walkaroo_W102_Black_264.jpeg,Walkaroo,W102,Black,264,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (6).jpeg,Walkaroo_WL981_MOONBLE_279.jpeg,Walkaroo,WL981,MOONBLE,279,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (7).jpeg,Walkaroo_WL7132_FIG_260.jpeg,Walkaroo,WL7132,FIG,260,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM (8).jpeg,Walkaroo_WLP70418_Rose_329.jpeg,Walkaroo,WLP70418,Rose,329,ok,
WhatsApp Image 2026-07-10 at 1.37.08 PM.jpeg,Walkaroo_W187_Pink_189.jpeg,Walkaroo,W187,Pink,189,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (1).jpeg,Walkaroo_BX2255_Standard_184.jpeg,Walkaroo,BX2255,Standard,184,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (10).jpeg,Walkaroo_WLR74018_CUSHION_SH_IS_309.jpeg,Walkaroo,WLR74018,CUSHION_SH_IS,309,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (11).jpeg,Walkaroo_WLR73022_Black_279.jpeg,Walkaroo,WLR73022,Black,279,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (12).jpeg,Walkaroo_WLR73022_Blue_279.jpeg,Walkaroo,WLR73022,Blue,279,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (13).jpeg,Walkaroo_WGP53410_Tan_479.jpeg,Walkaroo,WGP53410,Tan,479,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (14).jpeg,Walkaroo_WGP53408_Blue_469.jpeg,Walkaroo,WGP53408,Blue,469,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (15).jpeg,Walkaroo_WEI356_MRRG_719.jpeg,Walkaroo,WEI356,MRRG,719,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (16).jpeg,Walkaroo_Unknown_Tan_739.jpeg,Walkaroo,,Tan,739,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (17).jpeg,Walkaroo_W27138_Standard_269.jpeg,Walkaroo,W27138,Standard,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (18).jpeg,Walkaroo_Unknown_Black_679.jpeg,Walkaroo,,Black,679,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (19).jpeg,Walkaroo_Unknown_Black_679_2.jpeg,Walkaroo,,Black,679,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (2).jpeg,Walkaroo_BX2255_Blue_184.jpeg,Walkaroo,BX2255,Blue,184,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (20).jpeg,Walkaroo_Unknown_Black_679_3.jpeg,Walkaroo,,Black,679,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (21).jpeg,Walkaroo_Unknown_Black_679_4.jpeg,Walkaroo,,Black,679,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (22).jpeg,Walkaroo_Unknown_Black_679_5.jpeg,Walkaroo,,Black,679,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (23).jpeg,Walkaroo_Unknown_Black_719_2.jpeg,Walkaroo,,Black,719,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (24).jpeg,Walkaroo_Unknown_Black_719.jpeg,Walkaroo,,Black,719,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (25).jpeg,Walkaroo_W5687_Black_309.jpeg,Walkaroo,W5687,Black,309,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (26).jpeg,Walkaroo_W5687_Brown_309.jpeg,Walkaroo,W5687,Brown,309,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (27).jpeg,Walkaroo_W5687_Green_309.jpeg,Walkaroo,W5687,Green,309,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (28).jpeg,Walkaroo_W5687_Brown_309_2.jpeg,Walkaroo,W5687,Brown,309,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (29).jpeg,Walkaroo_W5687_Tan_309.jpeg,Walkaroo,W5687,Tan,309,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (3).jpeg,Walkaroo_BX2650_Blue_239.jpeg,Walkaroo,BX2650,Blue,239,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (30).jpeg,Walkaroo_WE1335_Black_599.jpeg,Walkaroo,WE1335,Black,599,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (31).jpeg,Walkaroo_WEI335_RETAIL_599.jpeg,Walkaroo,WEI335,RETAIL,599,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (32).jpeg,Walkaroo_WGP53320_Brown_479.jpeg,Walkaroo,WGP53320,Brown,479,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (33).jpeg,Walkaroo_WGP53320_Black_479.jpeg,Walkaroo,WGP53320,Black,479,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (34).jpeg,Walkaroo_WGP53032_TS_EA_AN_OY_G_799.jpeg,Walkaroo,WGP53032,TS_EA_AN_OY_G,799,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (35).jpeg,Walkaroo_WGP53032_LLE_799.jpeg,Walkaroo,WGP53032,LLE,799,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (36).jpeg,Walkaroo_WGP53440_Camel_519.jpeg,Walkaroo,WGP53440,Camel,519,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (37).jpeg,Walkaroo_WGP53440_OME_V_519.jpeg,Walkaroo,WGP53440,OME_V,519,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (38).jpeg,Walkaroo_WGP53410_Tan_479_2.jpeg,Walkaroo,WGP53410,Tan,479,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (39).jpeg,Walkaroo_WGP5345_Blue_259.jpeg,Walkaroo,WGP5345,Blue,259,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (4).jpeg,Walkaroo_WLR72017_PLUM_259.jpeg,Walkaroo,WLR72017,PLUM,259,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (40).jpeg,Walkaroo_WGR53351_Olive_539.jpeg,Walkaroo,WGR53351,Olive,539,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (41).jpeg,Walkaroo_WGR53387_Black_429.jpeg,Walkaroo,WGR53387,Black,429,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (42).jpeg,Walkaroo_WE1020_HN_I_629.jpeg,Walkaroo,WE1020,HN_I,629,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (43).jpeg,Walkaroo_WE1020_RETAIL_629.jpeg,Walkaroo,WE1020,RETAIL,629,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (44).jpeg,Walkaroo_BX2554_IALKAVOO_299.jpeg,Walkaroo,BX2554,IALKAVOO,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (45).jpeg,Walkaroo_WLP72034_Standard_349.jpeg,Walkaroo,WLP72034,Standard,349,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (46).jpeg,Walkaroo_WLP72034_Blue_349.jpeg,Walkaroo,WLP72034,Blue,349,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (47).jpeg,Walkaroo_BX2554_Maroon_299.jpeg,Walkaroo,BX2554,Maroon,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (48).jpeg,Walkaroo_WE2349_Olive_379.jpeg,Walkaroo,WE2349,Olive,379,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (49).jpeg,Walkaroo_WLR71215_Beige_299.jpeg,Walkaroo,WLR71215,Beige,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (5).jpeg,Walkaroo_BASIX_BX2675_Maroon_229.jpeg,Walkaroo_BASIX,BX2675,Maroon,229,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (50).jpeg,Walkaroo_WL7554_Purple_379.jpeg,Walkaroo,WL7554,Purple,379,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (51).jpeg,Walkaroo_BX2672_Brown_269.jpeg,Walkaroo,BX2672,Brown,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (52).jpeg,Walkaroo_WE2023_Beige_499.jpeg,Walkaroo,WE2023,Beige,499,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (53).jpeg,Walkaroo_BX2554_Burgundy_299.jpeg,Walkaroo,BX2554,Burgundy,299,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (54).jpeg,Walkaroo_WLR72017_Brown_269.jpeg,Walkaroo,WLR72017,Brown,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (55).jpeg,Walkaroo_WLR72017_PLUM_269.jpeg,Walkaroo,WLR72017,PLUM,269,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (56).jpeg,Walkaroo_WE2349_Purple_379.jpeg,Walkaroo,WE2349,Purple,379,ok,
WhatsApp Image 2026-07-10 at 1.37.09 PM (57).jpeg,Walkaroo_WLR74019_DUSTY_ON_379.jpeg,Walkaroo,WLR74019,DUSTY_ON,379,ok,
